Gene	Co-expression	Co-translation	Interactome
Zm00001d008320	0	0	1
Zm00001d022168	1	1	1
Zm00001d038796	0	0	1
Zm00001d004009	0	0	1
Zm00001d039120	0	0	1
Zm00001d038359	0	0	1
Zm00001d016892	0	0	1
Zm00001d022240	0	0	1
Zm00001d052220	0	0	1
Zm00001d051542	1	1	1
Zm00001d045596	1	1	1
Zm00001d036003	0	0	1
Zm00001d053059	0	0	1
Zm00001d043149	0	0	1
Zm00001d044694	0	0	1
Zm00001d035130	0	0	1
Zm00001d033798	0	0	1
Zm00001d049835	0	0	1
Zm00001d035186	0	0	1
Zm00001d010271	0	0	1
Zm00001d011411	0	0	1
Zm00001d002418	0	0	1
Zm00001d037481	0	0	1
Zm00001d005642	0	0	1
Zm00001d038851	0	0	1
Zm00001d021534	1	0	1
Zm00001d047271	0	1	1
Zm00001d049790	0	1	1
Zm00001d048023	1	0	1
Zm00001d024430	0	0	1
Zm00001d043182	0	0	1
Zm00001d001933	1	0	1
Zm00001d023516	0	0	1
Zm00001d034668	0	0	1
Zm00001d038698	0	0	1
Zm00001d028183	0	0	1
Zm00001d017242	0	0	1
Zm00001d028117	0	0	1
Zm00001d032361	0	0	1
Zm00001d053066	0	0	1
Zm00001d012233	0	0	1
Zm00001d007945	0	0	1
Zm00001d012974	0	0	1
Zm00001d009840	0	0	1
Zm00001d012741	0	0	1
Zm00001d010818	1	1	1
Zm00001d051995	1	1	1
Zm00001d024094	1	1	1
Zm00001d023479	0	1	1
Zm00001d041445	0	0	1
Zm00001d041775	0	0	1
Zm00001d000257	0	0	1
Zm00001d024816	0	0	1
Zm00001d051001	0	0	1
Zm00001d044527	0	0	1
Zm00001d022134	0	0	1
Zm00001d019268	0	0	1
Zm00001d030766	0	0	1
Zm00001d046549	1	1	1
Zm00001d042930	0	1	1
Zm00001d026286	1	0	1
Zm00001d011953	0	0	1
Zm00001d046305	0	0	1
Zm00001d033328	0	0	1
Zm00001d043452	0	0	1
Zm00001d037926	0	0	1
Zm00001d044287	0	0	1
Zm00001d013247	0	0	1
Zm00001d011086	0	0	1
Zm00001d029227	0	0	1
Zm00001d014994	0	0	1
Zm00001d018410	1	1	1
Zm00001d041760	0	1	1
Zm00001d049830	1	1	1
Zm00001d018134	0	0	1
Zm00001d029582	0	0	1
Zm00001d032181	0	0	1
Zm00001d016446	0	0	1
Zm00001d033850	0	0	1
Zm00001d020783	0	0	1
Zm00001d035093	0	0	1
Zm00001d024759	0	0	1
Zm00001d020450	1	0	1
Zm00001d042044	0	0	1
Zm00001d045889	0	0	1
Zm00001d022614	1	0	1
Zm00001d045448	0	0	1
Zm00001d005329	0	0	1
Zm00001d036567	0	0	1
Zm00001d012465	0	0	1
Zm00001d049239	0	0	1
Zm00001d046120	0	0	1
Zm00001d049652	0	0	1
Zm00001d029571	0	0	1
Zm00001d040515	0	0	1
Zm00001d033979	0	0	1
Zm00001d052473	0	0	1
Zm00001d030373	0	1	1
Zm00001d026038	1	0	1
Zm00001d043137	1	0	1
Zm00001d023741	0	0	1
Zm00001d028966	0	0	1
Zm00001d036964	0	0	1
Zm00001d029968	0	0	1
Zm00001d027743	0	0	1
Zm00001d025681	0	0	1
Zm00001d010321	0	0	1
Zm00001d043158	0	0	1
Zm00001d048689	0	0	1
Zm00001d011789	0	0	1
Zm00001d009653	0	0	1
Zm00001d041246	0	0	1
Zm00001d027527	0	0	1
Zm00001d029483	0	0	1
Zm00001d049815	0	0	1
Zm00001d022264	0	0	1
Zm00001d007300	0	0	1
Zm00001d033925	0	0	1
Zm00001d006602	0	0	1
Zm00001d011396	0	0	1
Zm00001d039787	0	0	1
Zm00001d022307	0	1	1
Zm00001d029647	1	1	1
Zm00001d023237	0	0	1
