Screens	PPIs	sd
1	8371.403	6448.269355902968
2	15798.16	8395.22274840849
3	23282.262	9668.091336113835
4	30449.897	10088.758088097422
5	37753.325	10288.650684822052
6	44854.687	10348.229352781507
7	51785.583	9915.869363113721
8	58326.78	9225.878816651537
9	64948.514	8008.907507973561
10	71222.18	5954.66759708649
11	77639.0	0.0
