gene	30-Embryo(15DAP)	32-Endosperm(15DAP)	23-1cmear	27-1cmtassel	31-Embryo(20DAP)	33-Endosperm(20DAP)	21-2mmear	26-2mmtassel	22-5mmear	01-Root(6DAS)	04-Seedling(6DAS)	29-Kernel(6DAP)	10-Leaf(14DAS)	03-Root(14DAS)	05-Seedling(14DAS)	18-Stem(14DAS)	15-Ear-leaf	08-First Leaf-N(V3)	25-Inflorescence	20-Internode(V6)	19-Stem(V6)	28-Tassel(V12)	06-Topmost Leaf-N(V3)	02-Primary Root(V1)	16-SAM(V1)	09-Third Leaf(V3)	17-SAM(V3)	12-Tip of Stage 2 leaf-L(V5)	11-Tip of Stage 2 Leaf-N(V5)	14-Base of Stage 2 leaf-L(V5)	13-Base of Stage 2 Leaf-N(V5)
Zm00001d006937	0	0	0	0	0	0	0	0	0	1.28291746111741	0.0859487447788941	0	0.107167601944168	5.03271350571554	1.90361002722819	0.051514797912709	0	0	0	0	0.0446158401759624	0	0.00922676347567198	2.17367465811345	0.0126630623584711	0.0165547967107385	0	0	0	0.0578481065527907	0.00931062065510197
Zm00001d035593	3.89930413291488	2.75528947717561	4.65122948341507	4.29773742393763	4.2048866833862	1.78111920933126	5.13595322841679	5.22754488261636	4.92595694385	2.90921367539884	0.565739488751049	3.5496268502299	1.76189371551587	1.7720653233177	2.12859085194942	3.3246592708841	1.58428595859101	1.769011056534	4.43150188323714	3.73173283844834	3.9112735711291	2.82827848029803	1.08776798141177	2.09409686164104	4.58633048863689	1.38394284440468	4.88348326009422	1.4577382127464	2.07233822548835	1.42589457205778	2.05664387059891
Zm00001d043909	5.27185495817347	4.04416650533186	4.81437256213972	4.21792676498795	4.98047387848041	2.45286542059498	5.01363092913592	4.98750664870948	5.24789493854043	4.0469150580266	3.37838690797468	5.17899028829117	3.00809582817972	4.13024382037311	3.77000356721521	3.97810623657543	3.014401447767	4.22965951739716	4.75587856034105	4.02132741021687	4.37395286410978	3.90267759949143	3.36885151464063	3.85835843436992	4.7577138034742	3.30826249700596	4.92498737376911	3.32724126678703	4.60124557410308	2.82057387485375	4.02946529838839
Zm00001d026756	0	0.0244707499697259	0	0	0	0	0	0	0	0	0	0.186251424029717	0	0	0	0	0	0.0188741286294601	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d026567	1.77867453790728	0.0296945810106101	2.0283258536955	1.28947300856677	0.0266924285087409	0.0151599780826032	2.78079165201079	1.52572863617214	3.15313327271904	0.385141088481347	2.78583142622243	2.1587734216546	2.90027425173806	0.0576658371752246	3.02542672139108	1.67412705756242	3.00110558235631	3.0045413916364	2.48425570799014	0.973484540535077	2.14442559842106	1.60142720411662	3.24121142194412	1.03149294896334	1.38354615752012	2.81531227696184	2.57548708953523	3.71531612216582	3.77622598015652	3.48233821699051	3.30226274598892
Zm00001d029719	4.58531865215118	2.85308474572588	4.81621978436399	4.36298943192113	4.47862140755217	1.80745920453011	5.03113611520358	4.81361177681264	5.13409851909915	4.66003971830735	2.9121875728048	4.55303874892228	3.57741130409427	4.35490501223785	3.41406163695574	4.20990567709227	3.61634287471122	3.97754091319421	4.94969142659302	3.97769989272355	4.37655732113255	3.61668898239035	3.12960119916147	4.29228481714784	5.13601567430025	3.70345180424186	5.0009750675189	3.21910949463074	3.84132028755624	3.21606150445145	3.67201386061641
Zm00001d049030	0	0	0	0	0.0103423100476551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Zm00001d031683	2.14026609721889	0.0154890056874344	0.446439930186028	2.80694482923717	0.334361752990481	0	0.808623111736999	0.145146576169963	0.0949994488270851	0.330537748979832	0.0909956609791072	0	0.0901359684905987	0	0.109294357742096	0.0428726293370018	1.93030058422608	1.31281297834103	0.486495571286215	0	0	0.209205044745254	0.137878575705924	0.191951696376984	0.110877015918371	0.865724067263041	0.512015461197196	0.345054539377368	0.739610513594152	0	0.029013914603697
Zm00001d037495	3.79728446957189	1.35433818486194	3.00130910247188	3.0330998897718	4.61060906413326	1.14888628498051	3.40394214051736	3.1321647850014	3.36906425976652	4.20612208286557	4.20488136368509	3.55335712393498	3.5231460235786	3.37916332449799	4.39005646030231	3.64535045168848	5.70072767352736	2.90452735401911	3.21426727999908	3.84331438273144	4.29860751245137	4.04056857675322	3.57397407045579	3.55316405486532	3.60599845416983	3.40873583782404	3.65264435096375	3.34377719022275	3.07828473059601	3.45497086761484	3.68530727522023
ENSRNA049476101	0	0.0854681676052982	0	0	0	0	0	0	0	0.454047940469955	0	0	0	0.432673511599627	0	0	0	0	0	0	0	0	0	0.203792524399969	0	0	0	0.0352220104058763	0	0	0
