id1	id2	trans	ribo	ppi
Zm00001d022143	Zm00001d006864	II	IV	II
Zm00001d022573	Zm00001d007215	II	II	IV
Zm00001d022629	Zm00001d006235	II	II	III
Zm00001d023293	Zm00001d005023	II	IV	III
Zm00001d024373	Zm00001d002395	II	II	III
Zm00001d025208	Zm00001d003996	II	I	V
Zm00001d025267	Zm00001d003913	II	III	IV
Zm00001d025294	Zm00001d003872	II	II	IV
Zm00001d025739	Zm00001d003222	II	III	IV
Zm00001d025784	Zm00001d003127	II	IV	III
Zm00001d025891	Zm00001d002969	II	IV	III
Zm00001d025930	Zm00001d002843	II	V	V
Zm00001d026191	Zm00001d017462	II	II	IV
Zm00001d026206	Zm00001d002475	II	IV	IV
Zm00001d026248	Zm00001d002416	II	IV	IV
Zm00001d026258	Zm00001d002391	II	III	III
Zm00001d026286	Zm00001d002339	II	II	III
Zm00001d026291	Zm00001d002330	II	I	IV
Zm00001d026343	Zm00001d002253	II	IV	IV
Zm00001d026344	Zm00001d002252	II	III	IV
Zm00001d026421	Zm00001d002125	II	I	IV
Zm00001d026578	Zm00001d001899	II	III	III
Zm00001d026588	Zm00001d001880	II	IV	IV
Zm00001d029170	Zm00001d022505	II	IV	III
Zm00001d029203	Zm00001d022401	II	I	III
Zm00001d029263	Zm00001d022307	II	III	IV
Zm00001d031640	Zm00001d006100	II	II	III
Zm00001d031640	Zm00001d021061	II	I	III
Zm00001d032181	Zm00001d020450	II	II	III
Zm00001d032543	Zm00001d013923	II	II	IV
Zm00001d032668	Zm00001d013999	II	IV	IV
Zm00001d032875	Zm00001d014138	II	IV	IV
Zm00001d033099	Zm00001d013780	II	II	III
Zm00001d033147	Zm00001d013758	II	IV	III
Zm00001d033325	Zm00001d013724	II	I	V
Zm00001d033378	Zm00001d013547	II	II	IV
Zm00001d033391	Zm00001d013554	II	IV	V
Zm00001d033396	Zm00001d013555	II	IV	IV
Zm00001d033479	Zm00001d013642	II	IV	IV
Zm00001d033646	Zm00001d013485	II	IV	IV
Zm00001d033912	Zm00001d013330	II	III	IV
Zm00001d034059	Zm00001d013252	II	I	IV
Zm00001d034440	Zm00001d007824	II	II	IV
Zm00001d034440	Zm00001d013076	II	IV	IV
Zm00001d034440	Zm00001d018957	II	II	IV
Zm00001d034479	Zm00001d018981	II	V	II
Zm00001d034609	Zm00001d012992	II	III	III
Zm00001d034640	Zm00001d012969	II	III	IV
Zm00001d034663	Zm00001d012957	II	IV	III
Zm00001d034754	Zm00001d012895	II	IV	IV
Zm00001d034876	Zm00001d012831	II	IV	III
Zm00001d034914	Zm00001d012815	II	I	IV
Zm00001d036535	Zm00001d014564	II	I	IV
Zm00001d037732	Zm00001d010009	II	V	III
Zm00001d038258	Zm00001d010206	II	III	IV
Zm00001d038579	Zm00001d010672	II	I	IV
Zm00001d038838	Zm00001d011138	II	IV	IV
Zm00001d038865	Zm00001d009417	II	III	IV
Zm00001d038929	Zm00001d009488	II	II	IV
Zm00001d038932	Zm00001d009493	II	IV	IV
Zm00001d038988	Zm00001d009548	II	II	IV
Zm00001d039305	Zm00001d008996	II	IV	IV
Zm00001d039518	Zm00001d008788	II	III	III
Zm00001d039881	Zm00001d008611	II	II	III
Zm00001d039908	Zm00001d008594	II	IV	III
Zm00001d040475	Zm00001d008224	II	I	IV
Zm00001d041497	Zm00001d031064	II	I	IV
Zm00001d042023	Zm00001d011816	II	III	IV
Zm00001d042267	Zm00001d011953	II	II	III
Zm00001d042796	Zm00001d012301	II	IV	III
Zm00001d042954	Zm00001d012439	II	IV	IV
Zm00001d042966	Zm00001d010566	II	IV	III
Zm00001d043137	Zm00001d012546	II	IV	IV
Zm00001d043158	Zm00001d012556	II	IV	IV
Zm00001d043243	Zm00001d012605	II	V	V
Zm00001d043414	Zm00001d012718	II	IV	III
Zm00001d043879	Zm00001d009539	II	V	IV
Zm00001d044110	Zm00001d011444	II	IV	IV
Zm00001d044243	Zm00001d011188	II	IV	IV
Zm00001d044614	Zm00001d023218	II	II	IV
Zm00001d044615	Zm00001d005089	II	IV	IV
Zm00001d045139	Zm00001d037492	II	III	IV
Zm00001d045607	Zm00001d035872	II	IV	III
Zm00001d046600	Zm00001d036758	II	II	V
Zm00001d046719	Zm00001d036790	II	III	IV
Zm00001d047412	Zm00001d029297	II	IV	IV
Zm00001d047479	Zm00001d022505	II	IV	IV
Zm00001d047500	Zm00001d022463	II	IV	V
Zm00001d047601	Zm00001d028923	II	V	IV
Zm00001d047677	Zm00001d028830	II	IV	III
Zm00001d047707	Zm00001d028786	II	II	IV
Zm00001d047747	Zm00001d028730	II	IV	IV
Zm00001d047839	Zm00001d028566	II	V	IV
Zm00001d047897	Zm00001d028481	II	II	III
Zm00001d047911	Zm00001d028429	II	III	III
Zm00001d047962	Zm00001d028377	II	III	V
Zm00001d048119	Zm00001d028034	II	V	IV
Zm00001d048233	Zm00001d027975	II	II	V
Zm00001d048320	Zm00001d027845	II	IV	IV
Zm00001d048368	Zm00001d027595	II	V	IV
Zm00001d048497	Zm00001d027373	II	IV	IV
Zm00001d049364	Zm00001d024324	II	II	III
Zm00001d049407	Zm00001d000001	II	IV	V
Zm00001d049666	Zm00001d035094	II	IV	III
Zm00001d049759	Zm00001d031525	II	IV	III
Zm00001d050850	Zm00001d016915	II	IV	IV
Zm00001d050944	Zm00001d017070	II	III	IV
Zm00001d051157	Zm00001d017271	II	II	IV
Zm00001d051321	Zm00001d017424	II	I	IV
Zm00001d051527	Zm00001d017702	II	IV	IV
Zm00001d051662	Zm00001d017850	II	IV	IV
Zm00001d051861	Zm00001d018515	II	III	III
Zm00001d051995	Zm00001d018415	II	I	IV
Zm00001d052025	Zm00001d018383	II	IV	IV
Zm00001d052025	Zm00001d045121	II	V	V
Zm00001d052078	Zm00001d018309	II	IV	IV
Zm00001d052108	Zm00001d018277	II	II	IV
Zm00001d052385	Zm00001d044667	II	V	IV
Zm00001d053150	Zm00001d041926	II	II	IV
Zm00001d053450	Zm00001d016165	II	II	III
Zm00001d053609	Zm00001d016402	II	III	IV
Zm00001d053610	Zm00001d016406	II	III	II
Zm00001d053643	Zm00001d015780	II	IV	IV
Zm00001d053841	Zm00001d036560	II	III	IV
Zm00001d053919	Zm00001d015058	II	IV	III
Zm00001d053983	Zm00001d015134	II	III	III
Zm00001d017719	Zm00001d002450	III	IV	III
Zm00001d018669	Zm00001d007951	III	IV	III
Zm00001d021196	Zm00001d006160	III	V	IV
Zm00001d021609	Zm00001d006472	III	IV	IV
Zm00001d021659	Zm00001d006517	III	IV	IV
Zm00001d021706	Zm00001d006547	III	III	IV
Zm00001d021950	Zm00001d006704	III	IV	II
Zm00001d022139	Zm00001d006860	III	III	IV
Zm00001d024784	Zm00001d010907	III	IV	IV
Zm00001d024933	Zm00001d004543	III	IV	III
Zm00001d025571	Zm00001d003464	III	III	IV
Zm00001d025689	Zm00001d003291	III	IV	V
Zm00001d025750	Zm00001d003207	III	V	III
Zm00001d026476	Zm00001d002034	III	IV	IV
Zm00001d026639	Zm00001d001798	III	IV	IV
Zm00001d032485	Zm00001d013886	III	IV	IV
Zm00001d032588	Zm00001d013966	III	IV	IV
Zm00001d033108	Zm00001d013778	III	II	IV
Zm00001d033366	Zm00001d013745	III	IV	III
Zm00001d033556	Zm00001d013524	III	V	IV
Zm00001d034072	Zm00001d013245	III	I	IV
Zm00001d034492	Zm00001d013059	III	III	IV
Zm00001d034591	Zm00001d013014	III	V	V
Zm00001d034698	Zm00001d012930	III	V	IV
Zm00001d035752	Zm00001d011100	III	IV	III
Zm00001d036480	Zm00001d014673	III	II	IV
Zm00001d036494	Zm00001d014656	III	II	III
Zm00001d037291	Zm00001d017961	III	IV	III
Zm00001d038840	Zm00001d011135	III	IV	IV
Zm00001d039047	Zm00001d009597	III	III	IV
Zm00001d040163	Zm00001d008427	III	IV	IV
Zm00001d040364	Zm00001d008299	III	III	V
Zm00001d040544	Zm00001d008200	III	V	IV
Zm00001d041852	Zm00001d023576	III	III	IV
Zm00001d042433	Zm00001d012092	III	IV	IV
Zm00001d042641	Zm00001d012238	III	III	IV
Zm00001d043327	Zm00001d012655	III	I	IV
Zm00001d043506	Zm00001d038796	III	IV	IV
Zm00001d043878	Zm00001d011588	III	III	IV
Zm00001d043903	Zm00001d011570	III	IV	III
Zm00001d044144	Zm00001d011424	III	IV	IV
Zm00001d044432	Zm00001d011309	III	V	III
Zm00001d044614	Zm00001d005090	III	I	III
Zm00001d044694	Zm00001d023371	III	III	IV
Zm00001d044930	Zm00001d037173	III	IV	IV
Zm00001d045028	Zm00001d037105	III	IV	IV
Zm00001d046531	Zm00001d036878	III	IV	IV
Zm00001d047449	Zm00001d029223	III	IV	IV
Zm00001d047464	Zm00001d029196	III	III	IV
Zm00001d047558	Zm00001d028989	III	III	V
Zm00001d047713	Zm00001d028782	III	II	III
Zm00001d047794	Zm00001d028655	III	III	IV
Zm00001d048204	Zm00001d028181	III	V	IV
Zm00001d048314	Zm00001d033004	III	IV	II
Zm00001d049442	Zm00001d000023	III	V	IV
Zm00001d049553	Zm00001d024588	III	IV	III
Zm00001d049628	Zm00001d035186	III	IV	III
Zm00001d051001	Zm00001d017121	III	II	IV
Zm00001d051053	Zm00001d017178	III	IV	IV
Zm00001d051149	Zm00001d003064	III	III	IV
Zm00001d051183	Zm00001d017303	III	I	III
Zm00001d051232	Zm00001d017360	III	V	III
Zm00001d051362	Zm00001d026177	III	V	III
Zm00001d051392	Zm00001d002704	III	IV	IV
Zm00001d052062	Zm00001d045076	III	IV	III
Zm00001d053448	Zm00001d016164	III	V	IV
Zm00001d053649	Zm00001d015788	III	III	IV
Zm00001d053800	Zm00001d015378	III	V	IV
Zm00001d002252	Zm00001d000005	IV	I	IV
Zm00001d010919	Zm00001d008177	IV	III	IV
Zm00001d015251	Zm00001d014673	IV	IV	III
Zm00001d017197	Zm00001d003123	IV	II	III
Zm00001d017268	Zm00001d003064	IV	V	IV
Zm00001d017391	Zm00001d002829	IV	V	V
Zm00001d017391	Zm00001d013895	IV	III	V
Zm00001d017396	Zm00001d002828	IV	V	III
Zm00001d017462	Zm00001d002762	IV	II	IV
Zm00001d017513	Zm00001d002718	IV	III	V
Zm00001d017753	Zm00001d002422	IV	V	IV
Zm00001d019219	Zm00001d005200	IV	I	III
Zm00001d019579	Zm00001d005406	IV	V	III
Zm00001d019595	Zm00001d005395	IV	V	IV
Zm00001d019597	Zm00001d005394	IV	III	IV
Zm00001d020004	Zm00001d005542	IV	IV	III
Zm00001d020309	Zm00001d005674	IV	IV	III
Zm00001d020354	Zm00001d005695	IV	V	IV
Zm00001d020419	Zm00001d005732	IV	IV	III
Zm00001d020858	Zm00001d005976	IV	II	III
Zm00001d020874	Zm00001d005993	IV	V	V
Zm00001d020946	Zm00001d006030	IV	V	III
Zm00001d021433	Zm00001d006306	IV	V	IV
Zm00001d021554	Zm00001d006439	IV	IV	III
Zm00001d021557	Zm00001d006440	IV	III	III
Zm00001d021580	Zm00001d006455	IV	IV	III
Zm00001d021633	Zm00001d006496	IV	V	IV
Zm00001d021877	Zm00001d006645	IV	V	IV
Zm00001d021908	Zm00001d006667	IV	IV	III
Zm00001d022016	Zm00001d006752	IV	III	III
Zm00001d022050	Zm00001d006771	IV	III	IV
Zm00001d022108	Zm00001d006834	IV	I	IV
Zm00001d022125	Zm00001d006845	IV	III	IV
Zm00001d022316	Zm00001d007038	IV	IV	III
Zm00001d022378	Zm00001d007075	IV	III	IV
Zm00001d022395	Zm00001d007085	IV	IV	III
Zm00001d022465	Zm00001d007146	IV	IV	V
Zm00001d022466	Zm00001d007145	IV	II	III
Zm00001d022541	Zm00001d007193	IV	V	IV
Zm00001d024268	Zm00001d002285	IV	V	V
Zm00001d024733	Zm00001d010927	IV	V	V
Zm00001d024755	Zm00001d010919	IV	IV	III
Zm00001d024767	Zm00001d008189	IV	II	III
Zm00001d024778	Zm00001d008200	IV	IV	III
Zm00001d024839	Zm00001d010870	IV	V	IV
Zm00001d025222	Zm00001d003984	IV	III	III
Zm00001d025235	Zm00001d003958	IV	III	IV
Zm00001d025241	Zm00001d016577	IV	IV	III
Zm00001d025517	Zm00001d003546	IV	IV	III
Zm00001d025712	Zm00001d003261	IV	V	IV
Zm00001d025713	Zm00001d003258	IV	II	III
Zm00001d025721	Zm00001d003249	IV	IV	V
Zm00001d026278	Zm00001d002352	IV	III	IV
Zm00001d026585	Zm00001d001884	IV	III	III
Zm00001d026650	Zm00001d001785	IV	IV	V
Zm00001d027595	Zm00001d014073	IV	IV	III
Zm00001d027856	Zm00001d014203	IV	I	III
Zm00001d029040	Zm00001d022432	IV	IV	III
Zm00001d029048	Zm00001d007179	IV	IV	III
Zm00001d029212	Zm00001d022387	IV	IV	III
Zm00001d029448	Zm00001d022139	IV	IV	III
Zm00001d030110	Zm00001d014423	IV	III	III
Zm00001d031436	Zm00001d006019	IV	V	IV
Zm00001d032597	Zm00001d013963	IV	V	IV
Zm00001d032600	Zm00001d013962	IV	V	IV
Zm00001d032663	Zm00001d013993	IV	III	IV
Zm00001d032979	Zm00001d027811	IV	III	III
Zm00001d033018	Zm00001d014204	IV	IV	III
Zm00001d033174	Zm00001d013751	IV	III	III
Zm00001d033210	Zm00001d013669	IV	II	III
Zm00001d033511	Zm00001d013543	IV	III	III
Zm00001d033549	Zm00001d013528	IV	III	IV
Zm00001d033554	Zm00001d013526	IV	V	III
Zm00001d033596	Zm00001d013505	IV	IV	III
Zm00001d033751	Zm00001d013426	IV	III	III
Zm00001d033830	Zm00001d013389	IV	IV	III
Zm00001d034063	Zm00001d013249	IV	IV	III
Zm00001d034163	Zm00001d013200	IV	IV	V
Zm00001d034337	Zm00001d013128	IV	V	IV
Zm00001d034350	Zm00001d018798	IV	V	IV
Zm00001d034517	Zm00001d013047	IV	IV	III
Zm00001d034590	Zm00001d013019	IV	I	IV
Zm00001d034602	Zm00001d012999	IV	IV	V
Zm00001d034867	Zm00001d012838	IV	IV	III
Zm00001d034885	Zm00001d012827	IV	III	III
Zm00001d036351	Zm00001d014865	IV	III	IV
Zm00001d036403	Zm00001d014785	IV	IV	III
Zm00001d036418	Zm00001d014765	IV	IV	V
Zm00001d036422	Zm00001d014764	IV	III	III
Zm00001d036507	Zm00001d014640	IV	IV	III
Zm00001d037227	Zm00001d018040	IV	IV	III
Zm00001d037257	Zm00001d017995	IV	IV	III
Zm00001d037271	Zm00001d017987	IV	IV	III
Zm00001d038304	Zm00001d012313	IV	IV	III
Zm00001d038489	Zm00001d010620	IV	III	III
Zm00001d038754	Zm00001d010808	IV	III	V
Zm00001d038768	Zm00001d012776	IV	IV	III
Zm00001d038839	Zm00001d011136	IV	V	III
Zm00001d039037	Zm00001d009587	IV	V	IV
Zm00001d039138	Zm00001d009683	IV	V	IV
Zm00001d039283	Zm00001d009010	IV	I	V
Zm00001d039372	Zm00001d008916	IV	IV	III
Zm00001d039660	Zm00001d037636	IV	IV	III
Zm00001d040235	Zm00001d008379	IV	V	III
Zm00001d040515	Zm00001d008215	IV	V	IV
Zm00001d040544	Zm00001d024778	IV	V	IV
Zm00001d041480	Zm00001d031050	IV	I	III
