id1	id2	trans	ribo	ppi
Zm00001d020274	Zm00001d005662	V	V	IV
Zm00001d020636	Zm00001d005828	V	V	IV
Zm00001d020687	Zm00001d005866	V	V	IV
Zm00001d020858	Zm00001d017889	V	V	IV
Zm00001d021267	Zm00001d006194	V	IV	III
Zm00001d021301	Zm00001d006214	V	IV	IV
Zm00001d021347	Zm00001d006350	V	IV	IV
Zm00001d021389	Zm00001d006331	V	IV	IV
Zm00001d021421	Zm00001d006309	V	V	IV
Zm00001d021452	Zm00001d006286	V	IV	V
Zm00001d021838	Zm00001d006625	V	IV	III
Zm00001d022238	Zm00001d006951	V	IV	III
Zm00001d022450	Zm00001d007167	V	IV	IV
Zm00001d022469	Zm00001d007133	V	V	IV
Zm00001d024251	Zm00001d002267	V	IV	IV
Zm00001d024325	Zm00001d002369	V	IV	III
Zm00001d024764	Zm00001d010914	V	IV	IV
Zm00001d024855	Zm00001d010858	V	IV	III
Zm00001d024939	Zm00001d004552	V	III	IV
Zm00001d025003	Zm00001d004463	V	IV	IV
Zm00001d025268	Zm00001d003911	V	V	III
Zm00001d025398	Zm00001d003713	V	V	III
Zm00001d025932	Zm00001d002842	V	V	IV
Zm00001d025939	Zm00001d017390	V	IV	IV
Zm00001d025946	Zm00001d002827	V	III	IV
Zm00001d025951	Zm00001d002817	V	V	IV
Zm00001d026296	Zm00001d002323	V	IV	IV
Zm00001d026333	Zm00001d002267	V	IV	V
Zm00001d026429	Zm00001d002103	V	IV	IV
Zm00001d026472	Zm00001d002051	V	IV	IV
Zm00001d026477	Zm00001d002029	V	IV	IV
Zm00001d026516	Zm00001d001967	V	III	III
Zm00001d026517	Zm00001d001966	V	III	IV
Zm00001d028998	Zm00001d022421	V	V	III
Zm00001d029048	Zm00001d022433	V	IV	III
Zm00001d029051	Zm00001d022435	V	IV	IV
Zm00001d029066	Zm00001d007169	V	IV	IV
Zm00001d029066	Zm00001d022444	V	V	IV
Zm00001d029075	Zm00001d007167	V	IV	IV
Zm00001d029126	Zm00001d022474	V	IV	IV
Zm00001d029208	Zm00001d022395	V	IV	IV
Zm00001d030126	Zm00001d014436	V	IV	III
Zm00001d030290	Zm00001d028396	V	IV	IV
Zm00001d031128	Zm00001d013644	V	IV	III
Zm00001d031602	Zm00001d006084	V	V	IV
Zm00001d032095	Zm00001d020595	V	V	III
Zm00001d032570	Zm00001d013934	V	III	IV
Zm00001d032852	Zm00001d027701	V	V	IV
Zm00001d032873	Zm00001d014128	V	IV	III
Zm00001d032894	Zm00001d027726	V	IV	III
Zm00001d032979	Zm00001d014187	V	III	III
Zm00001d032991	Zm00001d027827	V	IV	IV
Zm00001d033105	Zm00001d013779	V	V	IV
Zm00001d033294	Zm00001d013713	V	V	IV
Zm00001d033535	Zm00001d013531	V	V	IV
Zm00001d033589	Zm00001d013509	V	IV	IV
Zm00001d033642	Zm00001d013486	V	IV	IV
Zm00001d033680	Zm00001d013465	V	III	III
Zm00001d033744	Zm00001d013431	V	III	IV
Zm00001d033790	Zm00001d013410	V	V	IV
Zm00001d033799	Zm00001d013402	V	V	IV
Zm00001d033906	Zm00001d013335	V	IV	IV
Zm00001d033979	Zm00001d013300	V	IV	III
Zm00001d034188	Zm00001d013179	V	IV	IV
Zm00001d034345	Zm00001d018794	V	IV	III
Zm00001d034400	Zm00001d013094	V	III	V
Zm00001d034463	Zm00001d018973	V	IV	V
Zm00001d034520	Zm00001d013045	V	V	IV
Zm00001d034606	Zm00001d012993	V	V	IV
Zm00001d036400	Zm00001d014795	V	V	IV
Zm00001d036428	Zm00001d014761	V	V	III
Zm00001d036441	Zm00001d014733	V	V	III
Zm00001d037156	Zm00001d018199	V	IV	IV
Zm00001d037220	Zm00001d018049	V	IV	III
Zm00001d037228	Zm00001d018037	V	IV	IV
Zm00001d037234	Zm00001d018033	V	IV	V
Zm00001d038562	Zm00001d010654	V	IV	IV
Zm00001d038698	Zm00001d012731	V	IV	IV
Zm00001d038879	Zm00001d009436	V	V	IV
Zm00001d038879	Zm00001d011668	V	V	IV
Zm00001d038955	Zm00001d009504	V	IV	IV
Zm00001d039079	Zm00001d011487	V	IV	III
Zm00001d039455	Zm00001d037747	V	IV	IV
Zm00001d039495	Zm00001d008812	V	III	III
Zm00001d039663	Zm00001d008731	V	IV	III
Zm00001d039717	Zm00001d037505	V	IV	IV
Zm00001d039965	Zm00001d008569	V	IV	IV
Zm00001d040263	Zm00001d008357	V	IV	III
Zm00001d040334	Zm00001d008284	V	III	III
Zm00001d040462	Zm00001d008233	V	IV	IV
Zm00001d041443	Zm00001d033278	V	IV	IV
Zm00001d041476	Zm00001d031049	V	IV	IV
Zm00001d041700	Zm00001d023892	V	V	IV
Zm00001d042093	Zm00001d011873	V	III	IV
Zm00001d042329	Zm00001d012017	V	IV	IV
Zm00001d042362	Zm00001d012048	V	V	III
Zm00001d042598	Zm00001d038217	V	IV	IV
Zm00001d042667	Zm00001d010200	V	IV	IV
Zm00001d042761	Zm00001d012286	V	IV	IV
Zm00001d042800	Zm00001d038301	V	IV	V
Zm00001d042868	Zm00001d010054	V	IV	III
Zm00001d043074	Zm00001d010620	V	III	III
Zm00001d043074	Zm00001d038489	V	IV	III
Zm00001d043080	Zm00001d038506	V	III	IV
Zm00001d043098	Zm00001d038529	V	IV	IV
Zm00001d043135	Zm00001d038541	V	IV	IV
Zm00001d043149	Zm00001d012550	V	IV	IV
Zm00001d043153	Zm00001d012553	V	IV	III
Zm00001d043452	Zm00001d012751	V	IV	IV
Zm00001d043571	Zm00001d038751	V	V	IV
Zm00001d043573	Zm00001d011758	V	V	IV
Zm00001d043652	Zm00001d038824	V	V	IV
Zm00001d043773	Zm00001d038892	V	III	IV
Zm00001d043780	Zm00001d038904	V	IV	IV
Zm00001d043971	Zm00001d011514	V	IV	III
Zm00001d044191	Zm00001d011373	V	IV	IV
Zm00001d044212	Zm00001d011363	V	V	III
Zm00001d044692	Zm00001d023367	V	III	IV
Zm00001d044802	Zm00001d018004	V	IV	IV
Zm00001d045195	Zm00001d036305	V	III	IV
Zm00001d045391	Zm00001d036125	V	V	IV
Zm00001d045482	Zm00001d036031	V	IV	III
Zm00001d046591	Zm00001d015569	V	IV	IV
Zm00001d046889	Zm00001d015435	V	V	IV
Zm00001d047079	Zm00001d029889	V	III	IV
Zm00001d047126	Zm00001d029849	V	IV	IV
Zm00001d047633	Zm00001d028898	V	V	IV
Zm00001d047893	Zm00001d028471	V	IV	III
Zm00001d047941	Zm00001d030290	V	IV	IV
Zm00001d047969	Zm00001d028370	V	IV	III
Zm00001d048050	Zm00001d028260	V	V	IV
Zm00001d048080	Zm00001d028227	V	V	IV
Zm00001d048117	Zm00001d028025	V	V	III
Zm00001d048363	Zm00001d027585	V	III	IV
Zm00001d048766	Zm00001d007638	V	V	III
Zm00001d049369	Zm00001d024321	V	IV	III
Zm00001d049400	Zm00001d024251	V	IV	IV
Zm00001d049441	Zm00001d000021	V	IV	V
Zm00001d049717	Zm00001d035031	V	V	III
Zm00001d049761	Zm00001d031529	V	III	III
Zm00001d049823	Zm00001d031621	V	IV	III
Zm00001d049835	Zm00001d031637	V	V	IV
Zm00001d050051	Zm00001d032146	V	III	V
Zm00001d050346	Zm00001d020381	V	IV	IV
Zm00001d050610	Zm00001d016528	V	IV	IV
Zm00001d050737	Zm00001d016822	V	III	IV
Zm00001d050868	Zm00001d016928	V	IV	IV
Zm00001d050960	Zm00001d017084	V	V	III
Zm00001d051135	Zm00001d003049	V	IV	IV
Zm00001d051135	Zm00001d017261	V	III	IV
Zm00001d051135	Zm00001d025853	V	III	IV
Zm00001d051178	Zm00001d017296	V	IV	III
Zm00001d051288	Zm00001d025939	V	IV	IV
Zm00001d051337	Zm00001d017460	V	V	III
Zm00001d051392	Zm00001d026154	V	III	V
Zm00001d051563	Zm00001d017769	V	IV	IV
Zm00001d051590	Zm00001d017798	V	II	IV
Zm00001d051803	Zm00001d017956	V	IV	IV
Zm00001d051901	Zm00001d018497	V	IV	IV
Zm00001d052198	Zm00001d018112	V	IV	IV
Zm00001d052198	Zm00001d044869	V	IV	III
Zm00001d052273	Zm00001d018004	V	III	III
Zm00001d052453	Zm00001d023260	V	IV	IV
Zm00001d052726	Zm00001d031724	V	V	III
Zm00001d052941	Zm00001d007507	V	IV	IV
Zm00001d053022	Zm00001d004790	V	V	IV
Zm00001d053090	Zm00001d007446	V	IV	III
Zm00001d053217	Zm00001d006235	V	II	IV
Zm00001d053232	Zm00001d032010	V	II	III
Zm00001d053595	Zm00001d046388	V	V	IV
Zm00001d053716	Zm00001d015613	V	IV	IV
Zm00001d053727	Zm00001d015569	V	V	IV
Zm00001d053728	Zm00001d015568	V	III	III
Zm00001d053882	Zm00001d015248	V	V	IV
